Date,Exercise,Reps,Weight(kg),Duration(s),Distance(m),Incline,Resistance,isWarmup,Note,multiplier
2021-01-16 23:02:11 +0000,Dumbbell Kickbacks, 10,7.937875915123695,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-16 23:02:11 +0000,Dumbbell Kickbacks, 10,7.937875915123695,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-16 23:02:11 +0000,Dumbbell Romanian Deadlift, 6,14.741769556658292,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-16 23:02:11 +0000,Dumbbell Romanian Deadlift, 6,18.14371637742559,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-16 23:02:11 +0000,Dumbbell Romanian Deadlift, 10,21.545663198192887,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-16 23:02:11 +0000,Dumbbell Romanian Deadlift, 12,21.545663198192887,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-16 23:02:11 +0000,Wide Grip Lat Pulldown, 10,36.28743275485118,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-16 23:02:11 +0000,Wide Grip Lat Pulldown, 10,36.28743275485118,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-16 23:02:11 +0000,Wide Grip Lat Pulldown, 10,36.28743275485118,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-16 23:02:11 +0000,Wide Grip Lat Pulldown, 10,36.28743275485118,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-16 23:02:11 +0000,Reverse Crunch, 14,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-16 23:02:11 +0000,Reverse Crunch, 14,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-16 23:02:11 +0000,Reverse Crunch, 14,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-16 23:02:11 +0000,Reverse Crunch, 14,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-15 00:06:05 +0000,Dumbbell Bicep Curl, 7,13.607787283069193,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Dumbbell Bicep Curl, 7,13.607787283069193,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Dumbbell Bicep Curl, 7,13.607787283069193,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Dumbbell Bicep Curl, 7,13.607787283069193,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Barbell Bench Press, 10,20.41168092460379,0.0,0.0,0.0,0.0,true,, 1.0
2021-01-15 00:06:05 +0000,Barbell Bench Press, 5,38.55539730202938,0.0,0.0,0.0,0.0,true,, 1.0
2021-01-15 00:06:05 +0000,Barbell Bench Press, 10,52.16318458509857,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-15 00:06:05 +0000,Barbell Bench Press, 10,52.16318458509857,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-15 00:06:05 +0000,Barbell Bench Press, 10,52.16318458509857,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-15 00:06:05 +0000,Barbell Bench Press, 10,52.16318458509857,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-15 00:06:05 +0000,Barbell Glute Bridge, 10,20.41168092460379,0.0,0.0,0.0,0.0,true,, 1.0
2021-01-15 00:06:05 +0000,Barbell Glute Bridge, 5,36.28743275485118,0.0,0.0,0.0,0.0,true,, 1.0
2021-01-15 00:06:05 +0000,Barbell Glute Bridge, 8,47.62725549074217,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-15 00:06:05 +0000,Barbell Glute Bridge, 8,56.69911367945497,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-15 00:06:05 +0000,Barbell Glute Bridge, 11,68.03893641534596,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-15 00:06:05 +0000,Barbell Glute Bridge, 12,68.03893641534596,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-15 00:06:05 +0000,Dumbbell Decline Fly, 8,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Dumbbell Decline Fly, 8,9.071858188712795,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Dumbbell Decline Fly, 14,10.205840462301895,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Dumbbell Decline Fly, 12,10.205840462301895,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Concentration Curl, 10,12.473805009480094,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Concentration Curl, 10,12.473805009480094,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Concentration Curl, 10,12.473805009480094,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Concentration Curl, 10,12.473805009480094,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Single Leg Kickback, 30,0.0,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Single Leg Kickback, 30,0.0,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Single Leg Kickback, 30,0.0,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Single Leg Kickback, 30,0.0,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-15 00:06:05 +0000,Leg Raise, 9,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-15 00:06:05 +0000,Leg Raise, 9,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-15 00:06:05 +0000,Leg Raise, 9,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-15 00:06:05 +0000,Leg Raise, 9,0.0,0.0,0.0,0.0,0.0,false,, 1.0
2021-01-12 23:32:32 +0000,Dumbbell Front Raise, 4,6.8038936415345965,0.0,0.0,0.0,0.0,false,, 2.0
2021-01-12 23:32:32 +0000,Dumbbell Front Raise, 4,9.071858188712795,0.0,0.0,0.0,0.0,false,, 2.0
